Sample	Group	Latitude	Longitude	PR	PR_class	Multi_funcion_nokegg_noVB12
SRR11734681	Wetland	21.6	108.99	0	Non-agricultural land	0.998567929
SRR11734682	Wetland	21.6	108.99	0	Non-agricultural land	0.999661873
SRR10034925	Farmland	55.38	13.4	0	Negligible	0.893532003
SRR10034926	Farmland	55.38	13.4	0	Negligible	0.894794963
SRR10034927	Farmland	55.38	13.4	0	Negligible	0.919413304
SRR10034928	Farmland	55.38	13.4	0	Negligible	0.91726246
SRR10034932	Farmland	55.38	13.4	0	Negligible	0.900855278
SRR10034943	Farmland	55.38	13.4	0	Negligible	0.907441542
SRR10034954	Farmland	55.38	13.4	0	Negligible	0.892420569
SRR10034965	Farmland	55.38	13.4	0	Negligible	0.903382454
